0202011060715030836EA20201109002000000080000000000006219768001023                                                   004905
11818  000000004300                                                                                                 004010
17277  000000009700                                                                                                 004024
17022  000000013900                                                                                                 004009
11961  000000008300                                                                                                 004013
12445  000000001600                                                                                                 004007
13816  000000004900                                                                                                 004016
17160  000000007650                                                                                                 004017
14065  000000001900                                                                                                 004010
17084  000000005650                                                                                                 004020
14863  000000008900                                                                                                 004023
17113  000000004400                                                                                                 004005
15102  000000011200                                                                                                 003997
17155  000000020000                                                                                                 004005
16963  000000016300                                                                                                 004019
15222  000000032300                                                                                                 004004
10166  000000016200                                                                                                 004007
13867  000000002000                                                                                                 004011
14197  000000014800                                                                                                 004019
15210  000000144100                                                                                                 004003
18869  000000007100                                                                                                 004024
2EOF                                                                                                                003852
