0836EA	1818  	NM	4300			800000	62197.68	1.023
0836EA	7277  	NM	9700			800000	62197.68	1.023
0836EA	7022  	NM	13900			800000	62197.68	1.023
0836EA	1961  	NM	8300			800000	62197.68	1.023
0836EA	2445  	NM	1600			800000	62197.68	1.023
0836EA	3816  	NM	4900			800000	62197.68	1.023
0836EA	7160  	NM	7650			800000	62197.68	1.023
0836EA	4065  	NM	1900			800000	62197.68	1.023
0836EA	7084  	NM	5650			800000	62197.68	1.023
0836EA	4863  	NM	8900			800000	62197.68	1.023
0836EA	7113  	NM	4400			800000	62197.68	1.023
0836EA	5102  	NM	11200			800000	62197.68	1.023
0836EA	7155  	NM	20000			800000	62197.68	1.023
0836EA	6963  	NM	16300			800000	62197.68	1.023
0836EA	5222  	NM	32300			800000	62197.68	1.023
0836EA	0166  	NM	16200			800000	62197.68	1.023
0836EA	3867  	NM	2000			800000	62197.68	1.023
0836EA	4197  	NM	14800			800000	62197.68	1.023
0836EA	5210  	NM	144100			800000	62197.68	1.023
0836EA	8869  	NM	7100			800000	62197.68	1.023
